rank,word,pos,definition,synonyms,antonyms,usage_where,usage_where_not,example_1,example_2,example_3
146,bread,noun,Food made from flour,scratch; wampum; sugar; clams; boodle; dinero,,"Use ""bread"" (noun) when you want to convey food made from flour. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bread"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the bread phenomenon could not be overlooked.","Conversational: You know, it's pretty clear that the bread situation needs our immediate attention.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: bread)
147,break,verb,To separate into pieces,shift; geological fault; interruption; happy chance; faulting; good luck,keep; make; promote; repair; conform to,"Use ""break"" (verb) when you want to convey to separate into pieces. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""break"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the break effect was statistically significant across all samples.,Conversational: I've noticed the break trend in our office culture and it's starting to concern me.,GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: break)
148,breakdown,noun,A failure of normal working,equipment failure; dislocation; partitioning; crack-up,,"Use ""breakdown"" (noun) when you want to convey a failure of normal working. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""breakdown"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the breakdown phenomenon could not be overlooked.","Conversational: You know, it's pretty clear that the breakdown situation needs our immediate attention.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: breakdown)
149,brevity,noun,Concise expression,transience; briefness,,"Use ""brevity"" (noun) when you want to convey concise expression. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""brevity"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the brevity factor played a decisive role in the experimental outcome.,"Conversational: Honestly, the brevity behavior of the team has been a major source of tension lately.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: brevity)
150,bridge,noun,A structure carrying a road over a river,span; bridge deck; bridge over; bridgework; nosepiece; bridge circuit,,"Use ""bridge"" (noun) when you want to convey a structure carrying a road over a river. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bridge"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the bridge factor played a decisive role in the experimental outcome.,Conversational: I've noticed the bridge trend in our office culture and it's starting to concern me.,GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: bridge)
151,brief,noun,A letter or plan that summarizes,legal brief; abbreviated,,"Use ""brief"" (noun) when you want to convey a letter or plan that summarizes. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""brief"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the brief phenomenon could not be overlooked.","Conversational: Look, the brief results speak for themselves — we can't ignore them any longer.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: brief)
152,brilliant,adjective,Exceptionally clever,glorious; smart as a whip; magnificent; brainy; splendid; superb,,"Use ""brilliant"" (adjective) when you want to convey exceptionally clever. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""brilliant"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the brilliant effect was statistically significant across all samples.,"Conversational: Honestly, the brilliant behavior of the team has been a major source of tension lately.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: brilliant)
153,bring,verb,To cause to come,work; convey; play; take; wreak; make for,take away,"Use ""bring"" (verb) when you want to convey to cause to come. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bring"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the bring factor played a decisive role in the experimental outcome.,"Conversational: You know, it's pretty clear that the bring situation needs our immediate attention.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: bring)
154,broad,adjective,Measuring a long distance from edge to edge,extensive; across-the-board; all-embracing; all-inclusive; wide; panoptic,narrow,"Use ""broad"" (adjective) when you want to convey measuring a long distance from edge to edge. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""broad"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the broad hypothesis adequately explains the observed data.,Conversational: I told him the broad approach just wouldn't work here — we need to rethink this.,GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: broad)
155,broadcast,noun,A radio or television signal,program; send; air; transmit; beam; programme,,"Use ""broadcast"" (noun) when you want to convey a radio or television signal. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""broadcast"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the broadcast factor played a decisive role in the experimental outcome.,"Conversational: You know, it's pretty clear that the broadcast situation needs our immediate attention.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: broadcast)
156,brochure,noun,A small printed booklet,pamphlet; booklet; folder; leaflet,,"Use ""brochure"" (noun) when you want to convey a small printed booklet. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""brochure"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the brochure hypothesis adequately explains the observed data.,"Conversational: Honestly, the brochure behavior of the team has been a major source of tension lately.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: brochure)
157,broken,adjective,Not working,separate; come apart; split up; interrupt; break; fall apart,keep; make; promote; repair; unbroken; conform to,"Use ""broken"" (adjective) when you want to convey not working. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""broken"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the broken principle shapes contemporary policy decisions.,Conversational: I've noticed the broken trend in our office culture and it's starting to concern me.,GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: broken)
158,bronze,noun,An alloy of copper and tin,bronzy; tan,,"Use ""bronze"" (noun) when you want to convey an alloy of copper and tin. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bronze"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the bronze factor played a decisive role in the experimental outcome.,"Conversational: Honestly, the bronze behavior of the team has been a major source of tension lately.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: bronze)"
159,broth,noun,A savory soup made from meat or vegetables,stock,,"Use ""broth"" (noun) when you want to convey a savory soup made from meat or vegetables. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""broth"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the broth principle shapes contemporary policy decisions.,Conversational: I've noticed the broth trend in our office culture and it's starting to concern me.,GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: broth)
160,brother,noun,A male sibling,pal; chum; buddy; blood brother; sidekick; crony,sister,"Use ""brother"" (noun) when you want to convey a male sibling. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""brother"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the brother effect was statistically significant across all samples.,"Conversational: Look, the brother results speak for themselves — we can't ignore them any longer.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: brother)"
161,brown,adjective,Of a colour between orange and yellow,chocolate-brown; dark-brown; brownish; Robert Brown; John Brown; Brown University,,"Use ""brown"" (adjective) when you want to convey of a colour between orange and yellow. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""brown"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the brown effect was statistically significant across all samples.,Conversational: I've noticed the brown trend in our office culture and it's starting to concern me.,GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: brown)
162,bruise,noun,An injury causing discoloration,wound; spite; offend; injure; hurt; contusion,,"Use ""bruise"" (noun) when you want to convey an injury causing discoloration. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bruise"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the bruise principle shapes contemporary policy decisions.,"Conversational: Look, the bruise results speak for themselves — we can't ignore them any longer.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: bruise)
163,brush,noun,A bundle of bristles or wires,encounter; thicket; skirmish; brushwood; clash; coppice,,"Use ""brush"" (noun) when you want to convey a bundle of bristles or wires. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""brush"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the brush phenomenon could not be overlooked.","Conversational: Honestly, the brush behavior of the team has been a major source of tension lately.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: brush)
164,brusque,adjective,Short or dismissively rude,short; brusk; curt,,"Use ""brusque"" (adjective) when you want to convey short or dismissively rude. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""brusque"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the brusque effect was statistically significant across all samples.,"Conversational: Look, the brusque results speak for themselves — we can't ignore them any longer.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: brusque)
165,bubble,noun,A thin-film of soapy liquid,babble; guggle; ripple; house of cards; gurgle; burble,,"Use ""bubble"" (noun) when you want to convey a thin-film of soapy liquid. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bubble"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the bubble hypothesis adequately explains the observed data.,"Conversational: Honestly, the bubble behavior of the team has been a major source of tension lately.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: bubble)"
166,bucket,noun,A handle and open top,pail; bucketful,,"Use ""bucket"" (noun) when you want to convey a handle and open top. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bucket"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the bucket factor played a decisive role in the experimental outcome.,"Conversational: Look, the bucket results speak for themselves — we can't ignore them any longer.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: bucket)
167,budget,noun,An estimate of income and expenditure,,,"Use ""budget"" (noun) when you want to convey an estimate of income and expenditure. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""budget"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the budget hypothesis adequately explains the observed data.,"Conversational: Look, the budget results speak for themselves — we can't ignore them any longer.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: budget)
168,bug,noun,An insect or a fault in a system,microbe; glitch; hemipteron; germ; hemipterous insect; hemipteran,,"Use ""bug"" (noun) when you want to convey an insect or a fault in a system. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bug"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the bug phenomenon could not be overlooked.","Conversational: Honestly, the bug behavior of the team has been a major source of tension lately.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: bug)
169,build,verb,To construct,physical body; anatomy; physique; body-build; shape; chassis,,"Use ""build"" (verb) when you want to convey to construct. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""build"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the build hypothesis adequately explains the observed data.,"Conversational: Honestly, the build behavior of the team has been a major source of tension lately.",GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: build)
170,bulb,noun,An enclosed electrical light fixture,medulla; light bulb; electric-light bulb; incandescent lamp; lightbulb; electric light,,"Use ""bulb"" (noun) when you want to convey an enclosed electrical light fixture. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bulb"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the bulb effect was statistically significant across all samples.,"Conversational: Honestly, the bulb behavior of the team has been a major source of tension lately.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: bulb)
171,bulk,noun,The majority of something,majority; volume; bulge; mass,minority,"Use ""bulk"" (noun) when you want to convey the majority of something. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bulk"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the bulk effect was statistically significant across all samples.,Conversational: I told him the bulk approach just wouldn't work here — we need to rethink this.,GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: bulk)
172,bullet,noun,A projectile,fastball; bullet train; slug; heater; smoke; hummer,,"Use ""bullet"" (noun) when you want to convey a projectile. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bullet"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the bullet phenomenon could not be overlooked.",Conversational: I told him the bullet approach just wouldn't work here — we need to rethink this.,"GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: bullet)"
173,bundle,noun,A collection of things wrapped together,parcel; package; megabucks; big money; sheaf; pile,,"Use ""bundle"" (noun) when you want to convey a collection of things wrapped together. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bundle"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the bundle hypothesis adequately explains the observed data.,"Conversational: You know, it's pretty clear that the bundle situation needs our immediate attention.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: bundle)"
174,burden,noun,"A load, especially a heavy one",encumbrance; effect; essence; loading; gist; load,unburden,"Use ""burden"" (noun) when you want to convey a load, especially a heavy one. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""burden"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the burden factor played a decisive role in the experimental outcome.,Conversational: I've noticed the burden trend in our office culture and it's starting to concern me.,GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: burden)
175,bureau,noun,A government department,authority; office; chest; agency; government agency; dresser,,"Use ""bureau"" (noun) when you want to convey a government department. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bureau"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the bureau factor played a decisive role in the experimental outcome.,"Conversational: Look, the bureau results speak for themselves — we can't ignore them any longer.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: bureau)"
176,bureaucracy,noun,A system of government in which decisions are made by state officials,bureaucratism,,"Use ""bureaucracy"" (noun) when you want to convey a system of government in which decisions are made by state officials. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bureaucracy"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the bureaucracy effect was statistically significant across all samples.,Conversational: I told him the bureaucracy approach just wouldn't work here — we need to rethink this.,GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: bureaucracy)
177,burial,noun,The ritual of burying someone,inhumation; interment; sepulture; entombment; burying,,"Use ""burial"" (noun) when you want to convey the ritual of burying someone. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""burial"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the burial phenomenon could not be overlooked.","Conversational: Look, the burial results speak for themselves — we can't ignore them any longer.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: burial)
178,burn,verb,To be on fire,sunburn; burn mark; burn down; tan; suntan; burning,,"Use ""burn"" (verb) when you want to convey to be on fire. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""burn"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the burn effect was statistically significant across all samples.,Conversational: I've noticed the burn trend in our office culture and it's starting to concern me.,"GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: burn)"
179,bury,verb,To place someone in the ground,eat up; immerse; swallow up; entomb; inter; swallow,remember,"Use ""bury"" (verb) when you want to convey to place someone in the ground. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bury"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the bury phenomenon could not be overlooked.",Conversational: I've noticed the bury trend in our office culture and it's starting to concern me.,GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: bury)
180,bus,noun,A large motor vehicle for public transport,jitney; passenger vehicle; motorbus; motorcoach; omnibus; coach,,"Use ""bus"" (noun) when you want to convey a large motor vehicle for public transport. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bus"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the bus phenomenon could not be overlooked.","Conversational: Look, the bus results speak for themselves — we can't ignore them any longer.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: bus)
181,bust,verb,To make an effort,female chest; binge; fizzle; bout; tear; flop,repair,"Use ""bust"" (verb) when you want to convey to make an effort. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bust"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the bust factor played a decisive role in the experimental outcome.,Conversational: I've noticed the bust trend in our office culture and it's starting to concern me.,GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: bust)
182,busy,adjective,Having a great deal to do,interfering; officious; fussy; meddling; occupy; busybodied,idle,"Use ""busy"" (adjective) when you want to convey having a great deal to do. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""busy"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the busy hypothesis adequately explains the observed data.,"Conversational: Honestly, the busy behavior of the team has been a major source of tension lately.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: busy)"
183,butt,noun,The back part of the body,keister; behind; fanny; can; tail end; tush,,"Use ""butt"" (noun) when you want to convey the back part of the body. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""butt"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the butt hypothesis adequately explains the observed data.,Conversational: I've noticed the butt trend in our office culture and it's starting to concern me.,"GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: butt)"
184,button,noun,A small disc attached to clothing,clitoris; push; clit; push button; release,unbutton,"Use ""button"" (noun) when you want to convey a small disc attached to clothing. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""button"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: Contemporary scholars debate whether the button hypothesis adequately explains the observed data.,"Conversational: Look, the button results speak for themselves — we can't ignore them any longer.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: button)
185,buy,verb,To give money to obtain goods,corrupt; purchase; steal; bribe; grease one's palms; bargain,sell,"Use ""buy"" (verb) when you want to convey to give money to obtain goods. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""buy"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the buy factor played a decisive role in the experimental outcome.,"Conversational: Look, the buy results speak for themselves — we can't ignore them any longer.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: buy)
186,bypass,verb,To go around or avoid,shunt; go around; short-circuit; beltway; get around; electrical shunt,,"Use ""bypass"" (verb) when you want to convey to go around or avoid. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""bypass"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the bypass effect was statistically significant across all samples.,"Conversational: Honestly, the bypass behavior of the team has been a major source of tension lately.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: bypass)
187,cabin,noun,"A small, simple house",,,"Use ""cabin"" (noun) when you want to convey a small, simple house. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""cabin"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the cabin factor played a decisive role in the experimental outcome.,Conversational: I told him the cabin approach just wouldn't work here — we need to rethink this.,GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: cabin)
188,cache,noun,A collection of items stored away,squirrel away; memory cache; hive up; hoard; lay away; stash,,"Use ""cache"" (noun) when you want to convey a collection of items stored away. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""cache"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the cache factor played a decisive role in the experimental outcome.,"Conversational: You know, it's pretty clear that the cache situation needs our immediate attention.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: cache)
189,cackle,verb,To laugh boisterously,chatter; yakety-yak; yak; yack,,"Use ""cackle"" (verb) when you want to convey to laugh boisterously. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""cackle"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the cackle effect was statistically significant across all samples.,"Conversational: Honestly, the cackle behavior of the team has been a major source of tension lately.",GRE: The professor described the ___ as a ___ that ___ the entire field of study. (fill in: cackle)
190,café,noun,An establishment serving light meals,,,"Use ""café"" (noun) when you want to convey an establishment serving light meals. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""café"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the café principle shapes contemporary policy decisions.,Conversational: I've noticed the café trend in our office culture and it's starting to concern me.,GRE: The committee's decision to ___ was met with both praise and criticism from stakeholders. (fill in: café)
191,cage,noun,A enclosure for holding birds,cage in; coop; batting cage; John Milton Cage Jr.; John Cage,,"Use ""cage"" (noun) when you want to convey a enclosure for holding birds. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""cage"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The researcher's findings revealed that the cage effect was statistically significant across all samples.,Conversational: I told him the cage approach just wouldn't work here — we need to rethink this.,GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: cage)
192,cake,noun,An item of baked sweet food,coat; patty; bar,,"Use ""cake"" (noun) when you want to convey an item of baked sweet food. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""cake"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the cake factor played a decisive role in the experimental outcome.,Conversational: I told him the cake approach just wouldn't work here — we need to rethink this.,GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: cake)
193,calculator,noun,A device for doing mathematical calculations,calculating machine; reckoner; estimator; figurer; computer,,"Use ""calculator"" (noun) when you want to convey a device for doing mathematical calculations. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""calculator"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.","Academic: In the scholarly article, the author argued that the calculator phenomenon could not be overlooked.","Conversational: Look, the calculator results speak for themselves — we can't ignore them any longer.","GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: calculator)"
194,calendar,noun,A chart showing the days,,,"Use ""calendar"" (noun) when you want to convey a chart showing the days. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""calendar"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: A key consideration in modern discourse is how the calendar principle shapes contemporary policy decisions.,Conversational: I've noticed the calendar trend in our office culture and it's starting to concern me.,"GRE: Despite the ___ nature of the evidence, the researchers remained ___ about their conclusions. (fill in: calendar)"
195,calf,noun,A young bovine animal,calfskin; sura,,"Use ""calf"" (noun) when you want to convey a young bovine animal. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""calf"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the calf factor played a decisive role in the experimental outcome.,"Conversational: You know, it's pretty clear that the calf situation needs our immediate attention.",GRE: Analysts noted that the company's ___ strategy had ___ results in the last quarter. (fill in: calf)
196,call,verb,(of a bird) make a cry,telephone call; cry; vociferation; shout; phone call; outcry,put option,"Use ""call"" (verb) when you want to convey (of a bird) make a cry. Appropriate in formal writing, GRE sentence-equivalence, and academic contexts where precision matters.","Avoid ""call"" in casual conversation among friends unless you are certain the listener will understand; it can sound pretentious. Also avoid when a simpler synonym suffices.",Academic: The study concluded that the call factor played a decisive role in the experimental outcome.,"Conversational: Look, the call results speak for themselves — we can't ignore them any longer.",GRE: The author's ___ tone contrasted sharply with the ___ underlying message of the passage. (fill in: call)
